estado,municipio,bairros,ano,periodo,levantamento,timestamp,mosquito,longitude,latitude,zona,variable,value
AMAZONAS,MANAUS,CIDADE DE DEUS,2016,agosto,2,1/8/2016,Aegypti,-59.94808498968045,-3.020638173835605,NORTE,iip,0.59
AMAZONAS,MANAUS,CIDADE DE DEUS,2017,outubro,2,1/10/2017,Aegypti,-59.94808498968045,-3.020638173835605,NORTE,iip,1.3
AMAZONAS,MANAUS,CIDADE DE DEUS,2017,fevereiro,1,1/2/2017,Aegypti,-59.94808498968045,-3.020638173835605,NORTE,iip,1.53
AMAZONAS,MANAUS,CIDADE DE DEUS,2018,outubro,2,1/10/2018,Aegypti,-59.94808498968045,-3.020638173835605,NORTE,iip,1.73
AMAZONAS,MANAUS,CIDADE DE DEUS,2018,janeiro,1,1/1/2018,Aegypti,-59.94808498968045,-3.020638173835605,NORTE,iip,1.73
AMAZONAS,MANAUS,CIDADE DE DEUS,2019,fevereiro,1,1/2/2019,Aegypti,-59.94808498968045,-3.020638173835605,NORTE,iip,2.0
AMAZONAS,MANAUS,CIDADE DE DEUS,2019,novembro,2,1/11/2019,Aegypti,-59.94808498968045,-3.020638173835605,NORTE,iip,3.47
AMAZONAS,MANAUS,CIDADE DE DEUS,2020,fevereiro,1,1/2/2020,Aegypti,-59.94808498968045,-3.020638173835605,NORTE,iip,1.19
AMAZONAS,MANAUS,CIDADE NOVA,2016,agosto,2,1/8/2016,Aegypti,-59.97964441663999,-3.0303157257323,NORTE,iip,0.79
AMAZONAS,MANAUS,CIDADE NOVA,2017,outubro,2,1/10/2017,Aegypti,-59.97964441663999,-3.0303157257323,NORTE,iip,1.4
AMAZONAS,MANAUS,CIDADE NOVA,2017,fevereiro,1,1/2/2017,Aegypti,-59.97964441663999,-3.0303157257323,NORTE,iip,3.31
AMAZONAS,MANAUS,CIDADE NOVA,2018,outubro,2,1/10/2018,Aegypti,-59.97964441663999,-3.0303157257323,NORTE,iip,1.4
AMAZONAS,MANAUS,CIDADE NOVA,2018,janeiro,1,1/1/2018,Aegypti,-59.97964441663999,-3.0303157257323,NORTE,iip,1.4
AMAZONAS,MANAUS,CIDADE NOVA,2019,fevereiro,1,1/2/2019,Aegypti,-59.97964441663999,-3.0303157257323,NORTE,iip,1.5
AMAZONAS,MANAUS,CIDADE NOVA,2019,novembro,2,1/11/2019,Aegypti,-59.97964441663999,-3.0303157257323,NORTE,iip,2.36
AMAZONAS,MANAUS,CIDADE NOVA,2020,fevereiro,1,1/2/2020,Aegypti,-59.97964441663999,-3.0303157257323,NORTE,iip,0.9
AMAZONAS,MANAUS,COLONIA ANTONIO ALEIXO,2016,agosto,2,1/8/2016,Aegypti,-59.90374882020829,-3.101146451955,LESTE,iip,2.18
AMAZONAS,MANAUS,COLONIA ANTONIO ALEIXO,2017,outubro,2,1/10/2017,Aegypti,-59.90374882020829,-3.101146451955,LESTE,iip,0.51
AMAZONAS,MANAUS,COLONIA ANTONIO ALEIXO,2017,fevereiro,1,1/2/2017,Aegypti,-59.90374882020829,-3.101146451955,LESTE,iip,9.15
